period_init,v_kick,bound?,tighten?,circularize?
112.00000000000001,414.31313131313135,0.0,,
112.00000000000001,419.3535353535354,0.0,,
112.00000000000001,424.39393939393943,0.0,,
112.00000000000001,429.4343434343435,0.0,,
112.00000000000001,434.4747474747475,0.0,,
112.00000000000001,439.51515151515156,0.0,,
112.00000000000001,444.5555555555556,0.0,,
112.00000000000001,449.59595959595964,0.0,,
112.00000000000001,454.6363636363637,0.0,,
112.00000000000001,459.6767676767677,0.0,,
112.00000000000001,464.71717171717177,0.0,,
112.00000000000001,469.7575757575758,0.0,,
112.00000000000001,474.79797979797985,0.0,,
112.00000000000001,479.8383838383839,0.0,,
112.00000000000001,484.8787878787879,0.0,,
112.00000000000001,489.9191919191919,0.0,,
112.00000000000001,494.95959595959596,0.0,,
112.00000000000001,500.0,0.0,,
122.0909090909091,1.0,1.0,1.0,1.0
122.0909090909091,6.040404040404041,1.0,1.0,1.0
122.0909090909091,11.080808080808081,1.0,1.0,1.0
122.0909090909091,16.12121212121212,1.0,1.0,1.0
122.0909090909091,21.161616161616163,1.0,1.0,1.0
122.0909090909091,26.202020202020204,1.0,1.0,0.957
122.0909090909091,31.242424242424242,1.0,1.0,0.886
122.0909090909091,36.282828282828284,1.0,0.938,0.774
122.0909090909091,41.323232323232325,1.0,0.849,0.623
122.0909090909091,46.36363636363637,1.0,0.791,0.529
122.0909090909091,51.40404040404041,1.0,0.747,0.451
122.0909090909091,56.44444444444445,0.96,0.721875,0.35833333333333334
122.0909090909091,61.484848484848484,0.884,0.744343891402715,0.3009049773755656
122.0909090909091,66.52525252525253,0.833,0.7250900360144058,0.24369747899159663
122.0909090909091,71.56565656565657,0.788,0.7626903553299492,0.25761421319796957
122.0909090909091,76.60606060606061,0.764,0.7460732984293194,0.2356020942408377
122.0909090909091,81.64646464646465,0.711,0.7637130801687764,0.189873417721519
122.0909090909091,86.68686868686869,0.658,0.7279635258358662,0.19148936170212766
122.0909090909091,91.72727272727273,0.638,0.7413793103448276,0.19905956112852666
122.0909090909091,96.76767676767678,0.608,0.7532894736842105,0.17434210526315788
122.0909090909091,101.80808080808082,0.605,0.7140495867768595,0.11735537190082644
122.0909090909091,106.84848484848486,0.554,0.723826714801444,0.14259927797833935
122.0909090909091,111.8888888888889,0.491,0.780040733197556,0.15478615071283094
122.0909090909091,116.92929292929294,0.486,0.7386831275720165,0.14609053497942387
122.0909090909091,121.96969696969697,0.478,0.7489539748953975,0.14225941422594143
122.0909090909091,127.01010101010101,0.454,0.7158590308370044,0.14537444933920704
122.0909090909091,132.05050505050505,0.44,0.7568181818181818,0.13636363636363635
122.0909090909091,137.0909090909091,0.41,0.7414634146341463,0.17560975609756097
122.0909090909091,142.13131313131314,0.357,0.6974789915966386,0.11484593837535013
122.0909090909091,147.17171717171718,0.361,0.7229916897506925,0.15512465373961218
122.0909090909091,152.21212121212122,0.341,0.7624633431085044,0.16422287390029325
122.0909090909091,157.25252525252526,0.313,0.6805111821086262,0.14057507987220447
122.0909090909091,162.2929292929293,0.319,0.7523510971786834,0.19435736677115986
122.0909090909091,167.33333333333334,0.276,0.6956521739130435,0.21739130434782608
122.0909090909091,172.37373737373738,0.25,0.664,0.232
122.0909090909091,177.41414141414143,0.242,0.6735537190082644,0.256198347107438
122.0909090909091,182.45454545454547,0.218,0.6467889908256881,0.25229357798165136
122.0909090909091,187.4949494949495,0.224,0.6741071428571429,0.28125
122.0909090909091,192.53535353535355,0.19,0.5894736842105263,0.3157894736842105
122.0909090909091,197.5757575757576,0.173,0.6127167630057804,0.28901734104046245
122.0909090909091,202.61616161616163,0.173,0.6184971098265896,0.37572254335260113
122.0909090909091,207.65656565656568,0.162,0.5925925925925926,0.3395061728395062
122.0909090909091,212.69696969696972,0.122,0.45901639344262296,0.2540983606557377
122.0909090909091,217.73737373737376,0.125,0.408,0.24
122.0909090909091,222.7777777777778,0.102,0.3431372549019608,0.20588235294117646
122.0909090909091,227.81818181818184,0.092,0.20652173913043478,0.10869565217391304
122.0909090909091,232.85858585858588,0.062,0.08064516129032258,0.06451612903225806
122.0909090909091,237.89898989898992,0.047,0.0,0.0
122.0909090909091,242.93939393939394,0.033,0.0,0.0
122.0909090909091,247.97979797979798,0.018,0.0,0.0
122.0909090909091,253.02020202020202,0.004,0.0,0.0
122.0909090909091,258.06060606060606,0.0,,
122.0909090909091,263.1010101010101,0.0,,
122.0909090909091,268.14141414141415,0.0,,
122.0909090909091,273.1818181818182,0.0,,
122.0909090909091,278.22222222222223,0.0,,
122.0909090909091,283.26262626262627,0.0,,
122.0909090909091,288.3030303030303,0.0,,
122.0909090909091,293.34343434343435,0.0,,
122.0909090909091,298.3838383838384,0.0,,
122.0909090909091,303.42424242424244,0.0,,
122.0909090909091,308.4646464646465,0.0,,
122.0909090909091,313.5050505050505,0.0,,
122.0909090909091,318.54545454545456,0.0,,
122.0909090909091,323.5858585858586,0.0,,
122.0909090909091,328.62626262626264,0.0,,
122.0909090909091,333.6666666666667,0.0,,
122.0909090909091,338.7070707070707,0.0,,
122.0909090909091,343.74747474747477,0.0,,
122.0909090909091,348.7878787878788,0.0,,
122.0909090909091,353.82828282828285,0.0,,
122.0909090909091,358.8686868686869,0.0,,
122.0909090909091,363.90909090909093,0.0,,
122.0909090909091,368.949494949495,0.0,,
122.0909090909091,373.989898989899,0.0,,
122.0909090909091,379.03030303030306,0.0,,
122.0909090909091,384.0707070707071,0.0,,
122.0909090909091,389.11111111111114,0.0,,
122.0909090909091,394.1515151515152,0.0,,
122.0909090909091,399.1919191919192,0.0,,
122.0909090909091,404.23232323232327,0.0,,
122.0909090909091,409.2727272727273,0.0,,
122.0909090909091,414.31313131313135,0.0,,
122.0909090909091,419.3535353535354,0.0,,
122.0909090909091,424.39393939393943,0.0,,
122.0909090909091,429.4343434343435,0.0,,
122.0909090909091,434.4747474747475,0.0,,
122.0909090909091,439.51515151515156,0.0,,
122.0909090909091,444.5555555555556,0.0,,
122.0909090909091,449.59595959595964,0.0,,
122.0909090909091,454.6363636363637,0.0,,
122.0909090909091,459.6767676767677,0.0,,
122.0909090909091,464.71717171717177,0.0,,
122.0909090909091,469.7575757575758,0.0,,
122.0909090909091,474.79797979797985,0.0,,
122.0909090909091,479.8383838383839,0.0,,
122.0909090909091,484.8787878787879,0.0,,
122.0909090909091,489.9191919191919,0.0,,
