period_init,v_kick,collide?,bound?
747.7272727272727,187.4949494949495,0.0,0.0
747.7272727272727,192.53535353535355,0.0,0.0
747.7272727272727,197.5757575757576,0.0,0.0
747.7272727272727,202.61616161616163,0.0,0.0
747.7272727272727,207.65656565656568,0.0,0.0
747.7272727272727,212.69696969696972,0.0,0.0
747.7272727272727,217.73737373737376,0.0,0.0
747.7272727272727,222.7777777777778,0.0,0.0
747.7272727272727,227.81818181818184,0.0,0.0
747.7272727272727,232.85858585858588,0.0,0.0
747.7272727272727,237.89898989898992,0.0,0.0
747.7272727272727,242.93939393939394,0.0,0.0
747.7272727272727,247.97979797979798,0.0,0.0
747.7272727272727,253.02020202020202,0.0,0.0
747.7272727272727,258.06060606060606,0.0,0.0
747.7272727272727,263.1010101010101,0.0,0.0
747.7272727272727,268.14141414141415,0.0,0.0
747.7272727272727,273.1818181818182,0.0,0.0
747.7272727272727,278.22222222222223,0.0,0.0
747.7272727272727,283.26262626262627,0.0,0.0
747.7272727272727,288.3030303030303,0.0,0.0
747.7272727272727,293.34343434343435,0.0,0.0
747.7272727272727,298.3838383838384,0.0,0.0
747.7272727272727,303.42424242424244,0.0,0.0
747.7272727272727,308.4646464646465,0.0,0.0
747.7272727272727,313.5050505050505,0.0,0.0
747.7272727272727,318.54545454545456,0.0,0.0
747.7272727272727,323.5858585858586,0.0,0.0
747.7272727272727,328.62626262626264,0.0,0.0
747.7272727272727,333.6666666666667,0.0,0.0
747.7272727272727,338.7070707070707,0.0,0.0
747.7272727272727,343.74747474747477,0.0,0.0
747.7272727272727,348.7878787878788,0.0,0.0
747.7272727272727,353.82828282828285,0.0,0.0
747.7272727272727,358.8686868686869,0.0,0.0
747.7272727272727,363.90909090909093,0.0,0.0
747.7272727272727,368.949494949495,0.0,0.0
747.7272727272727,373.989898989899,0.0,0.0
747.7272727272727,379.03030303030306,0.0,0.0
747.7272727272727,384.0707070707071,0.0,0.0
747.7272727272727,389.11111111111114,0.0,0.0
747.7272727272727,394.1515151515152,0.0,0.0
747.7272727272727,399.1919191919192,0.0,0.0
747.7272727272727,404.23232323232327,0.0,0.0
747.7272727272727,409.2727272727273,0.0,0.0
747.7272727272727,414.31313131313135,0.0,0.0
747.7272727272727,419.3535353535354,0.0,0.0
747.7272727272727,424.39393939393943,0.0,0.0
747.7272727272727,429.4343434343435,0.0,0.0
747.7272727272727,434.4747474747475,0.0,0.0
747.7272727272727,439.51515151515156,0.0,0.0
747.7272727272727,444.5555555555556,0.0,0.0
747.7272727272727,449.59595959595964,0.0,0.0
747.7272727272727,454.6363636363637,0.0,0.0
747.7272727272727,459.6767676767677,0.0,0.0
747.7272727272727,464.71717171717177,0.0,0.0
747.7272727272727,469.7575757575758,0.0,0.0
747.7272727272727,474.79797979797985,0.0,0.0
747.7272727272727,479.8383838383839,0.0,0.0
747.7272727272727,484.8787878787879,0.0,0.0
747.7272727272727,489.9191919191919,0.0,0.0
747.7272727272727,494.95959595959596,0.0,0.0
747.7272727272727,500.0,0.0,0.0
757.8181818181819,1.0,0.0,1.0
757.8181818181819,6.040404040404041,0.0,1.0
757.8181818181819,11.080808080808081,0.0,1.0
757.8181818181819,16.12121212121212,0.0,1.0
757.8181818181819,21.161616161616163,0.0,1.0
757.8181818181819,26.202020202020204,0.0,1.0
757.8181818181819,31.242424242424242,0.0,0.889
757.8181818181819,36.282828282828284,0.001,0.771
757.8181818181819,41.323232323232325,0.0,0.641
757.8181818181819,46.36363636363637,0.0,0.564
757.8181818181819,51.40404040404041,0.0,0.477
757.8181818181819,56.44444444444445,0.0,0.414
757.8181818181819,61.484848484848484,0.0,0.34
757.8181818181819,66.52525252525253,0.0,0.26
757.8181818181819,71.56565656565657,0.0,0.199
757.8181818181819,76.60606060606061,0.0,0.156
757.8181818181819,81.64646464646465,0.0,0.092
757.8181818181819,86.68686868686869,0.0,0.051
757.8181818181819,91.72727272727273,0.0,0.0
757.8181818181819,96.76767676767678,0.0,0.0
757.8181818181819,101.80808080808082,0.0,0.0
757.8181818181819,106.84848484848486,0.0,0.0
757.8181818181819,111.8888888888889,0.0,0.0
757.8181818181819,116.92929292929294,0.0,0.0
757.8181818181819,121.96969696969697,0.0,0.0
757.8181818181819,127.01010101010101,0.0,0.0
757.8181818181819,132.05050505050505,0.0,0.0
757.8181818181819,137.0909090909091,0.0,0.0
757.8181818181819,142.13131313131314,0.0,0.0
757.8181818181819,147.17171717171718,0.0,0.0
757.8181818181819,152.21212121212122,0.0,0.0
757.8181818181819,157.25252525252526,0.0,0.0
757.8181818181819,162.2929292929293,0.0,0.0
757.8181818181819,167.33333333333334,0.0,0.0
757.8181818181819,172.37373737373738,0.0,0.0
757.8181818181819,177.41414141414143,0.0,0.0
757.8181818181819,182.45454545454547,0.0,0.0
757.8181818181819,187.4949494949495,0.0,0.0
757.8181818181819,192.53535353535355,0.0,0.0
757.8181818181819,197.5757575757576,0.0,0.0
757.8181818181819,202.61616161616163,0.0,0.0
757.8181818181819,207.65656565656568,0.0,0.0
757.8181818181819,212.69696969696972,0.0,0.0
757.8181818181819,217.73737373737376,0.0,0.0
757.8181818181819,222.7777777777778,0.0,0.0
757.8181818181819,227.81818181818184,0.0,0.0
757.8181818181819,232.85858585858588,0.0,0.0
757.8181818181819,237.89898989898992,0.0,0.0
757.8181818181819,242.93939393939394,0.0,0.0
757.8181818181819,247.97979797979798,0.0,0.0
757.8181818181819,253.02020202020202,0.0,0.0
757.8181818181819,258.06060606060606,0.0,0.0
757.8181818181819,263.1010101010101,0.0,0.0
757.8181818181819,268.14141414141415,0.0,0.0
757.8181818181819,273.1818181818182,0.0,0.0
757.8181818181819,278.22222222222223,0.0,0.0
757.8181818181819,283.26262626262627,0.0,0.0
757.8181818181819,288.3030303030303,0.0,0.0
757.8181818181819,293.34343434343435,0.0,0.0
757.8181818181819,298.3838383838384,0.0,0.0
757.8181818181819,303.42424242424244,0.0,0.0
757.8181818181819,308.4646464646465,0.0,0.0
757.8181818181819,313.5050505050505,0.0,0.0
757.8181818181819,318.54545454545456,0.0,0.0
757.8181818181819,323.5858585858586,0.0,0.0
757.8181818181819,328.62626262626264,0.0,0.0
757.8181818181819,333.6666666666667,0.0,0.0
757.8181818181819,338.7070707070707,0.0,0.0
757.8181818181819,343.74747474747477,0.0,0.0
757.8181818181819,348.7878787878788,0.0,0.0
757.8181818181819,353.82828282828285,0.0,0.0
757.8181818181819,358.8686868686869,0.0,0.0
757.8181818181819,363.90909090909093,0.0,0.0
757.8181818181819,368.949494949495,0.0,0.0
757.8181818181819,373.989898989899,0.0,0.0
757.8181818181819,379.03030303030306,0.0,0.0
757.8181818181819,384.0707070707071,0.0,0.0
757.8181818181819,389.11111111111114,0.0,0.0
757.8181818181819,394.1515151515152,0.0,0.0
757.8181818181819,399.1919191919192,0.0,0.0
757.8181818181819,404.23232323232327,0.0,0.0
757.8181818181819,409.2727272727273,0.0,0.0
757.8181818181819,414.31313131313135,0.0,0.0
757.8181818181819,419.3535353535354,0.0,0.0
