period_init,v_kick,bound?,tighten?,circularize?
21.181818181818183,137.0909090909091,0.668,0.36826347305389223,0.18712574850299402
21.181818181818183,142.13131313131314,0.617,0.36142625607779577,0.19611021069692058
21.181818181818183,147.17171717171718,0.604,0.3675496688741722,0.20695364238410596
21.181818181818183,152.21212121212122,0.555,0.35855855855855856,0.1945945945945946
21.181818181818183,157.25252525252526,0.514,0.3638132295719844,0.24319066147859922
21.181818181818183,162.2929292929293,0.49,0.29183673469387755,0.21224489795918366
21.181818181818183,167.33333333333334,0.439,0.357630979498861,0.23234624145785876
21.181818181818183,172.37373737373738,0.433,0.3464203233256351,0.23094688221709006
21.181818181818183,177.41414141414143,0.372,0.2849462365591398,0.20967741935483872
21.181818181818183,182.45454545454547,0.372,0.3064516129032258,0.20161290322580644
21.181818181818183,187.4949494949495,0.324,0.3271604938271605,0.24074074074074073
21.181818181818183,192.53535353535355,0.312,0.34615384615384615,0.19230769230769232
21.181818181818183,197.5757575757576,0.299,0.35451505016722407,0.18394648829431437
21.181818181818183,202.61616161616163,0.294,0.35034013605442177,0.1598639455782313
21.181818181818183,207.65656565656568,0.246,0.35772357723577236,0.17479674796747968
21.181818181818183,212.69696969696972,0.237,0.31223628691983124,0.14767932489451477
21.181818181818183,217.73737373737376,0.223,0.40358744394618834,0.14349775784753363
21.181818181818183,222.7777777777778,0.179,0.39664804469273746,0.18994413407821228
21.181818181818183,227.81818181818184,0.173,0.42196531791907516,0.15606936416184972
21.181818181818183,232.85858585858588,0.16,0.4625,0.2
21.181818181818183,237.89898989898992,0.137,0.5036496350364964,0.1897810218978102
21.181818181818183,242.93939393939394,0.124,0.43548387096774194,0.21774193548387097
21.181818181818183,247.97979797979798,0.114,0.47368421052631576,0.13157894736842105
21.181818181818183,253.02020202020202,0.1,0.38,0.21
21.181818181818183,258.06060606060606,0.108,0.46296296296296297,0.23148148148148148
21.181818181818183,263.1010101010101,0.112,0.4642857142857143,0.16964285714285715
21.181818181818183,268.14141414141415,0.095,0.35789473684210527,0.17894736842105263
21.181818181818183,273.1818181818182,0.084,0.39285714285714285,0.19047619047619047
21.181818181818183,278.22222222222223,0.09,0.4888888888888889,0.2
21.181818181818183,283.26262626262627,0.082,0.4268292682926829,0.15853658536585366
21.181818181818183,288.3030303030303,0.081,0.5308641975308642,0.16049382716049382
21.181818181818183,293.34343434343435,0.076,0.35526315789473684,0.13157894736842105
21.181818181818183,298.3838383838384,0.059,0.4406779661016949,0.22033898305084745
21.181818181818183,303.42424242424244,0.062,0.45161290322580644,0.1774193548387097
21.181818181818183,308.4646464646465,0.059,0.6101694915254238,0.3220338983050847
21.181818181818183,313.5050505050505,0.054,0.4444444444444444,0.16666666666666666
21.181818181818183,318.54545454545456,0.05,0.52,0.32
21.181818181818183,323.5858585858586,0.046,0.6086956521739131,0.2826086956521739
21.181818181818183,328.62626262626264,0.046,0.43478260869565216,0.2608695652173913
21.181818181818183,333.6666666666667,0.044,0.45454545454545453,0.2727272727272727
21.181818181818183,338.7070707070707,0.034,0.4117647058823529,0.17647058823529413
21.181818181818183,343.74747474747477,0.025,0.4,0.24
21.181818181818183,348.7878787878788,0.014,0.35714285714285715,0.14285714285714285
21.181818181818183,353.82828282828285,0.018,0.5555555555555556,0.3333333333333333
21.181818181818183,358.8686868686869,0.007,0.7142857142857143,0.7142857142857143
21.181818181818183,363.90909090909093,0.014,0.5,0.21428571428571427
21.181818181818183,368.949494949495,0.02,0.4,0.25
21.181818181818183,373.989898989899,0.008,0.25,0.125
21.181818181818183,379.03030303030306,0.016,0.25,0.1875
21.181818181818183,384.0707070707071,0.007,0.14285714285714285,0.0
21.181818181818183,389.11111111111114,0.009,0.3333333333333333,0.2222222222222222
21.181818181818183,394.1515151515152,0.007,0.14285714285714285,0.14285714285714285
21.181818181818183,399.1919191919192,0.007,0.14285714285714285,0.14285714285714285
21.181818181818183,404.23232323232327,0.007,0.14285714285714285,0.14285714285714285
21.181818181818183,409.2727272727273,0.005,0.0,0.2
21.181818181818183,414.31313131313135,0.008,0.0,0.0
21.181818181818183,419.3535353535354,0.005,0.0,0.0
21.181818181818183,424.39393939393943,0.002,0.0,0.0
21.181818181818183,429.4343434343435,0.002,0.0,0.0
21.181818181818183,434.4747474747475,0.001,0.0,0.0
21.181818181818183,439.51515151515156,0.002,0.0,0.0
21.181818181818183,444.5555555555556,0.0,,
21.181818181818183,449.59595959595964,0.001,0.0,0.0
21.181818181818183,454.6363636363637,0.0,,
21.181818181818183,459.6767676767677,0.0,,
21.181818181818183,464.71717171717177,0.0,,
21.181818181818183,469.7575757575758,0.0,,
21.181818181818183,474.79797979797985,0.0,,
21.181818181818183,479.8383838383839,0.0,,
21.181818181818183,484.8787878787879,0.0,,
21.181818181818183,489.9191919191919,0.0,,
21.181818181818183,494.95959595959596,0.0,,
21.181818181818183,500.0,0.0,,
31.272727272727273,1.0,1.0,1.0,0.178
31.272727272727273,6.040404040404041,1.0,1.0,0.173
31.272727272727273,11.080808080808081,1.0,1.0,0.184
31.272727272727273,16.12121212121212,1.0,1.0,0.2
31.272727272727273,21.161616161616163,1.0,0.966,0.273
31.272727272727273,26.202020202020204,1.0,0.908,0.317
31.272727272727273,31.242424242424242,1.0,0.844,0.378
31.272727272727273,36.282828282828284,1.0,0.766,0.392
31.272727272727273,41.323232323232325,1.0,0.743,0.412
31.272727272727273,46.36363636363637,1.0,0.68,0.403
31.272727272727273,51.40404040404041,1.0,0.643,0.389
31.272727272727273,56.44444444444445,1.0,0.635,0.352
31.272727272727273,61.484848484848484,1.0,0.571,0.371
31.272727272727273,66.52525252525253,1.0,0.528,0.324
31.272727272727273,71.56565656565657,1.0,0.515,0.299
31.272727272727273,76.60606060606061,1.0,0.435,0.246
31.272727272727273,81.64646464646465,0.997,0.40722166499498497,0.2708124373119358
31.272727272727273,86.68686868686869,0.969,0.4004127966976264,0.2218782249742002
31.272727272727273,91.72727272727273,0.916,0.41593886462882096,0.20414847161572053
31.272727272727273,96.76767676767678,0.852,0.39906103286384975,0.21244131455399062
31.272727272727273,101.80808080808082,0.81,0.3691358024691358,0.20493827160493827
31.272727272727273,106.84848484848486,0.757,0.3949801849405548,0.19418758256274768
31.272727272727273,111.8888888888889,0.701,0.3780313837375178,0.1825962910128388
31.272727272727273,116.92929292929294,0.662,0.36706948640483383,0.19637462235649547
31.272727272727273,121.96969696969697,0.632,0.36075949367088606,0.20094936708860758
31.272727272727273,127.01010101010101,0.574,0.3641114982578397,0.1951219512195122
31.272727272727273,132.05050505050505,0.535,0.32897196261682243,0.20747663551401868
31.272727272727273,137.0909090909091,0.515,0.35145631067961164,0.23689320388349513
31.272727272727273,142.13131313131314,0.511,0.34833659491193736,0.19569471624266144
31.272727272727273,147.17171717171718,0.46,0.36086956521739133,0.21304347826086956
31.272727272727273,152.21212121212122,0.461,0.2993492407809111,0.16919739696312364
31.272727272727273,157.25252525252526,0.411,0.31873479318734793,0.2116788321167883
31.272727272727273,162.2929292929293,0.372,0.34408602150537637,0.239247311827957
31.272727272727273,167.33333333333334,0.342,0.3567251461988304,0.19883040935672514
31.272727272727273,172.37373737373738,0.287,0.37282229965156793,0.20209059233449478
31.272727272727273,177.41414141414143,0.292,0.3664383561643836,0.1815068493150685
31.272727272727273,182.45454545454547,0.244,0.36475409836065575,0.1762295081967213
31.272727272727273,187.4949494949495,0.215,0.39069767441860465,0.17209302325581396
31.272727272727273,192.53535353535355,0.185,0.41081081081081083,0.1945945945945946
31.272727272727273,197.5757575757576,0.213,0.38497652582159625,0.18779342723004694
31.272727272727273,202.61616161616163,0.175,0.45714285714285713,0.22857142857142856
31.272727272727273,207.65656565656568,0.172,0.43023255813953487,0.22674418604651161
31.272727272727273,212.69696969696972,0.139,0.43884892086330934,0.17985611510791366
31.272727272727273,217.73737373737376,0.116,0.4827586206896552,0.19827586206896552
31.272727272727273,222.7777777777778,0.105,0.4857142857142857,0.1619047619047619
31.272727272727273,227.81818181818184,0.106,0.4528301886792453,0.20754716981132076
31.272727272727273,232.85858585858588,0.087,0.3333333333333333,0.20689655172413793
31.272727272727273,237.89898989898992,0.076,0.3815789473684211,0.07894736842105263
31.272727272727273,242.93939393939394,0.052,0.5,0.25
31.272727272727273,247.97979797979798,0.099,0.5050505050505051,0.26262626262626265
31.272727272727273,253.02020202020202,0.064,0.46875,0.234375
31.272727272727273,258.06060606060606,0.064,0.46875,0.171875
31.272727272727273,263.1010101010101,0.052,0.5,0.23076923076923078
31.272727272727273,268.14141414141415,0.05,0.5,0.26
31.272727272727273,273.1818181818182,0.053,0.4528301886792453,0.20754716981132076
31.272727272727273,278.22222222222223,0.038,0.5263157894736842,0.21052631578947367
31.272727272727273,283.26262626262627,0.035,0.42857142857142855,0.2857142857142857
31.272727272727273,288.3030303030303,0.041,0.4878048780487805,0.24390243902439024
31.272727272727273,293.34343434343435,0.044,0.5681818181818182,0.3181818181818182
31.272727272727273,298.3838383838384,0.038,0.4473684210526316,0.3684210526315789
31.272727272727273,303.42424242424244,0.026,0.3076923076923077,0.19230769230769232
31.272727272727273,308.4646464646465,0.035,0.37142857142857144,0.17142857142857143
31.272727272727273,313.5050505050505,0.02,0.3,0.2
31.272727272727273,318.54545454545456,0.027,0.2962962962962963,0.18518518518518517
